name,latitude,longitude,threshold,event_date,geps_init_date,lead_time_days,event_flag,amd_tmp_min,percentile
Honbetsu,43.133400,143.562300,3.0,2025-04-28,2025-04-21,7,1,-2.50,0.2
Honbetsu,43.133400,143.562300,3.0,2025-04-29,2025-04-21,8,1,0.60,8.0
Honbetsu,43.133400,143.562300,3.0,2025-04-30,2025-04-21,9,1,0.80,5.2
Honbetsu,43.133400,143.562300,3.0,2025-05-01,2025-04-21,10,1,0.40,3.1
Honbetsu,43.133400,143.562300,3.0,2025-05-02,2025-04-21,11,0,3.90,24.0
Honbetsu,43.133400,143.562300,3.0,2025-05-03,2025-04-21,12,0,8.10,18.2
Honbetsu,43.133400,143.562300,3.0,2025-05-04,2025-04-21,13,0,6.20,20.6
Honbetsu,43.133400,143.562300,3.0,2025-05-05,2025-04-21,14,0,3.80,12.3
Honbetsu,43.133400,143.562300,3.0,2025-05-06,2025-04-21,15,1,0.00,0.6
Honbetsu,43.133400,143.562300,3.0,2025-05-07,2025-04-21,16,0,3.10,8.8
Date,42.493500,140.866200,-1.0,2025-04-21,2025-04-21,0,0,4.50,0.0
Date,42.493500,140.866200,-1.0,2025-04-22,2025-04-21,1,0,3.20,0.0
Date,42.493500,140.866200,-1.0,2025-04-23,2025-04-21,2,0,5.70,0.0
Date,42.493500,140.866200,-1.0,2025-04-24,2025-04-21,3,0,8.00,0.0
Date,42.493500,140.866200,-1.0,2025-04-25,2025-04-21,4,0,4.70,0.0
Date,42.493500,140.866200,-1.0,2025-04-26,2025-04-21,5,0,1.20,0.0
Date,42.493500,140.866200,-1.0,2025-04-27,2025-04-21,6,0,3.60,0.0
Date,42.493500,140.866200,-1.0,2025-04-28,2025-04-21,7,0,0.90,0.0
Date,42.493500,140.866200,-1.0,2025-04-29,2025-04-21,8,0,5.20,0.0
Date,42.493500,140.866200,-1.0,2025-04-30,2025-04-21,9,0,2.40,0.0
Date,42.493500,140.866200,-1.0,2025-05-01,2025-04-21,10,0,0.30,0.0
Date,42.493500,140.866200,-1.0,2025-05-02,2025-04-21,11,0,9.20,0.0
Date,42.493500,140.866200,-1.0,2025-05-03,2025-04-21,12,0,8.50,0.0
Date,42.493500,140.866200,-1.0,2025-05-04,2025-04-21,13,0,5.60,0.0
Date,42.493500,140.866200,-1.0,2025-05-05,2025-04-21,14,0,6.90,0.0
